username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Redux,1490775524750155778,Los Angeles CA,2023-01-22 18:58:50,@CBSLA Too many damn guns... I'm glad I'm working from home for the foreseeable future...,0,Twitter Web App,
Dimplez 🇳🇬,21841872,"Los Angeles, CA",2023-01-22 18:56:35,Asking the internet before I bring in the big guns 💪🏾😅 aka @SHAWNA_PEEZY &amp; @djxdomo,0,Twitter for iPhone,
Ares Meyer,2243342527,Los Angeles,2023-01-22 18:56:05,"@RAtheRuggedMan “Heavy” by @KieseLaymon 
Heartbreaking Beautiful Big Heart Pick up the Guns and Hug your Mother Clo… https://t.co/FxrUDVYwV1",0,Twitter for iPhone,
youaintgotnohoes.eth,110282804,"Los Angeles, CA",2023-01-22 18:55:09,"The gun violence in American is sickening. If they took the guns away, some of these pussy’s would have to fight an… https://t.co/uw4q5dKMGP",1,Twitter for iPhone,
RidgeDeadite (Free OF in bio),1079491918713651200,"Los Angeles, CA",2023-01-22 18:54:05,"@ivysaintmay *Finger guns my way into your DM’s 
🤠",0,Twitter for iPhone,
Redux,1490775524750155778,Los Angeles CA,2023-01-22 18:53:08,@NotThatGuyTX @bosschonk @Shawn07840240 @TommysDesktop @TheGenCatton @redbikemaster @HuffPost You said nothing but… https://t.co/YnLqqfgJPc,0,Twitter Web App,
Two Out Of Five (01010)(00110),1481016042268753921,"Los Angeles, CA",2023-01-22 18:50:41,"People are still being killed by guns, what is that? https://t.co/7ChMb077lK",0,Twitter Web App,
Background Briefing w/ Ian Masters,107202682,"Los Angeles, CA USA",2023-01-22 18:49:54,"Alexander Motyl  joins us to discuss his article at The Hill “As Russia weakens, whoever has soldiers and guns will… https://t.co/8l4k02ZNhd",0,Twitter Web App,
LG Wynnsanity,3332136610,"Los Angeles, CA",2023-01-22 18:48:04,"@4ceLawrence This creative mode update could be big, but might not appeal to the people who just want to grind clas… https://t.co/fG7aIxi4wh",0,Twitter Web App,
Chris❤✌🏾✊🏿,1160668060614717440,Los Angeles,2023-01-22 18:45:00,Eliminate the one thing all mass shootings have in common; guns.,16,Twitter Web App,
Mahdi Ahmad,25798436,"Los Angeles, CA",2023-01-22 18:44:45,I’m trying to understand leftist “logic” here: many guns are obtained illegally and used in crimes. How does “gun c… https://t.co/AVO87IT0uL,0,Twitter for iPhone,
kay 🌻,737192795518033920,"Los Angeles, CA",2023-01-22 18:44:41,i’m heartbroken for the victims and their families. heartbroken for the community. heartbroken that this is still h… https://t.co/QoR5TulkxO,0,Twitter for iPhone,
Mod60s🇺🇦🏳️‍🌈☮️🇺🇸🇬🇧,1232506048415596544,"Los Angeles, CA",2023-01-22 18:44:30,"@SenSanders Let's just face it, guns will always be available for people who want to get them to commit heinous act… https://t.co/RsksiQejfz",0,Twitter for Android,
David Herrmann,15526823,"Redondo Beach, CA",2023-01-22 18:42:53,@Elex_Michaelson not sure it’s related but Sepulveda/Hawthorne in Torrance is locked down and they got guns pointed at a white van.,8,Twitter for iPhone,
Mahdi Ahmad,25798436,"Los Angeles, CA",2023-01-22 18:42:15,@cenkuygur What if the guns were obtained illegally? Then your argument falls apart.,0,Twitter for iPhone,
Erin Brown - Horror Fantasy Author,391872678,Los Angeles,2023-01-22 18:40:51,"“""Everything's on the table,"" Luna said of the ongoing investigation. ""But, who walks into a dance hall and guns do… https://t.co/KX3ao4VXQB",0,Twitter for iPhone,
Redux,1490775524750155778,Los Angeles CA,2023-01-22 18:40:42,"@FertigNeverDies What...? You freaks can't even agree with each other except about guns... 
I have outdone every ge… https://t.co/Ie9FJfGL7J",0,Twitter Web App,
Ken Scott,1673543562,"Los Angeles, CA",2023-01-22 18:40:28,@SimuLiu @joshgad A lot more than 10 people were killed with guns in the US yesterday.  Where's the coverage of tha… https://t.co/rxgLjtbOBk,0,Twitter Web App,
Rev. Redeem Robinson,87118639,"Los Angeles, CA",2023-01-22 18:40:19,I'm sick of these guns. I'm sick of hate! This act of terror on our Asian siblings was 15-20 minutes from my house.… https://t.co/e6Zf0SisVk,0,Twitter for Android,
Holden Afart,82005108,LA.,2023-01-22 18:40:17,people suck man. fuck you and your guns,0,Twitter for iPhone,
Kostas Moros,1003007811679219712,Los Angeles,2023-01-22 18:40:04,@NoMargeli1 @Chris40018592 It's illegal to do what you are describing. I guess a Californian could illegally buy a… https://t.co/sUUiGNA7V0,0,Twitter Web App,
Farid X,327579878,Los Angeles,2023-01-22 18:38:47,"@FightGOPers @CorneliaGeppert Guns are totally illegal in Mexico, how has that helped them?  Should we make drug po… https://t.co/7g7UKfKetY",0,Twitter for iPhone,
Nikolas Tiscareno,2856054824,Covina,2023-01-22 18:36:49,@corbinsabol @Ernienavarro7 @GavinNewsom The crazy part is that you are right if a criminal is going to get a gun t… https://t.co/EsNXWx07ER,0,Twitter for iPhone,
Donna Kay,204799317,"Los Angeles, CA",2023-01-22 18:36:10,@originalspin The core problem is guns.,0,Twitter for iPhone,
Redux,1490775524750155778,Los Angeles CA,2023-01-22 18:34:10,"@MasteryCoach @theferalmommy @TheGenCatton @Shawn07840240 @TommysDesktop @redbikemaster @HuffPost No, I'm saying a… https://t.co/PYzPNcO9wI",0,Twitter Web App,
IT IS GREAT TO BE ALIVE!,23711726,Malibu Ca,2023-01-22 18:33:59,Should we follow the Australians and ban guns for civilians? #guns,3,Twitter for iPhone,
Redux,1490775524750155778,Los Angeles CA,2023-01-22 18:33:00,@theferalmommy @TheGenCatton @MasteryCoach @Shawn07840240 @TommysDesktop @redbikemaster @HuffPost Guns don't create… https://t.co/UW9hzhtKWT,0,Twitter Web App,
Councilmember Sasha Renée Pérez,1002012173583900672,"Alhambra, CA",2023-01-22 18:32:44,Conservatives are already attempting to use the Monterey Park shooting to argue that gun control laws don’t work. C… https://t.co/rLlark4xOC,25,Twitter for iPhone,
Josh the Persecuted Animator 🇨🇦 🎺🎺,36161030,Ontario,2023-01-22 18:32:22,"what's the point when you've stripped all the individuality of the characters power-sets and boiled them all down to ""Them shoot da guns""?",0,Twitter for Android,
IT IS GREAT TO BE ALIVE!,23711726,Malibu Ca,2023-01-22 18:32:13,"We need to have background checks, training, programs, and insurance for anybody who owns any kind of gun. We have… https://t.co/AwObdalAKl",8,Twitter for iPhone,
Redux,1490775524750155778,Los Angeles CA,2023-01-22 18:31:46,@LoneOwlImages @bosschonk @TheGenCatton It's obvious half the country needs to be shot before it's the guns... AT l… https://t.co/bUOVhdaUw7,0,Twitter Web App,
Homelessragecomplex,1616980740746678275,,2023-01-22 18:31:23,In 2020 I had a the entire Portland Police Riot Squad pull their guns on me for threatening tweakers with a crossbo… https://t.co/p7cGSUUzua,0,Twitter for iPhone,
vernon rene daley,993735997,"Los Angeles, CA",2023-01-22 18:31:05,"@NewtownAction @2Aupdates If guns don't make you safer, don't keep guns. You get to make the decision. Simple, right?",0,Twitter Web App,
Forced2GoRogue,1548820449684967424,Your Head,2023-01-22 18:29:51,"@B_Hay @UncleBobsReason @angryasianman It’s as if you white liberals (taking a guess, but I’m right) don’t live in… https://t.co/h67gzEjLk7",0,Twitter for iPhone,
E. Bjornen,171238864,Los Angeles,2023-01-22 18:29:13,@NBCNews @marchmatron It’s the guns stupid!,1,Twitter for iPad,
Redux,1490775524750155778,Los Angeles CA,2023-01-22 18:27:53,@redbikemaster @bosschonk @TheGenCatton @Shawn07840240 @TommysDesktop @HuffPost And of course fewer guns and less u… https://t.co/aYIcsMvmyi,0,Twitter Web App,
Retropolitan Radio • LA,1585771784367853568,"Los Angeles, CA",2023-01-22 18:26:47,Have the cops found the guns that you 'highly secured' in your home? 🤣 https://t.co/EQpcvU00d5,0,Twitter for Android,
Theodore Chao 趙伯立 (he/him/his),3210915239,"Los Angeles, CA",2023-01-22 18:26:00,"#MontereyPark, where my family and I have found a thriving, inviting, and loving community, taught me how beautiful… https://t.co/T9rgMGJ8ZX",8,Twitter for iPhone,
لاتهجرو القران,4193428385,West Hollywood California,2023-01-22 18:25:54,@hotasiandudes great guns😎,0,Twitter Web App,
Two Out Of Five (01010)(00110),1481016042268753921,"Los Angeles, CA",2023-01-22 18:25:02,why are guns masculine coded in your mind https://t.co/BU1PUmMuRa,0,Twitter Web App,
